index,id,category_id,category,name,badge,engine,entropy,standard,about
"1","aes128","symmetric","Symmetric Keys","Hashcod Variant 00001 - AES-128 Key","128","16 bytes → Base64","128 bits","FIPS 197","Symmetric block cipher, 128-bit key. Default for most TLS suites and disk encryption."
"2","aes192","symmetric","Symmetric Keys","Hashcod Variant 00002 - AES-192 Key","192","24 bytes → Base64","192 bits","FIPS 197","AES with a 192-bit key. Mid-tier strength, less common than 128/256."
"3","aes256","symmetric","Symmetric Keys","Hashcod Variant 00003 - AES-256 Key","256","32 bytes → Base64","256 bits","FIPS 197","AES with a 256-bit key. Recommended for long-term and post-quantum-aware deployments."
"4","aesgcm","symmetric","Symmetric Keys","Hashcod Variant 00004 - AES-GCM Key","GCM","32-byte key + 12-byte IV","256 bits","NIST SP 800-38D","AES in Galois/Counter Mode. Authenticated encryption — ciphertext + auth tag."
"5","chacha20","symmetric","Symmetric Keys","Hashcod Variant 00005 - ChaCha20 Key","STR","32 bytes → hex","256 bits","RFC 8439","Stream cipher by D.J. Bernstein. Faster than AES on devices without AES-NI."
"6","xchacha","symmetric","Symmetric Keys","Hashcod Variant 00006 - XChaCha20 Key","XSTR","32-byte key + 24-byte nonce","256 bits","IETF Draft","Extended-nonce variant of ChaCha20. Safe for random nonces at scale."
"7","poly1305","symmetric","Symmetric Keys","Hashcod Variant 00007 - Poly1305 Key","MAC","32 bytes → hex","256 bits","RFC 8439","One-time authenticator. Pairs with ChaCha20 for AEAD constructions."
"8","salsa20","symmetric","Symmetric Keys","Hashcod Variant 00008 - Salsa20 Key","STR","32 bytes → hex","256 bits","eSTREAM","Predecessor to ChaCha20. Still used in legacy NaCl deployments."
"9","des3","symmetric","Symmetric Keys","Hashcod Variant 00009 - 3DES Key","168","24 bytes → hex","168 bits","FIPS 46-3","Triple-DES, deprecated. Generated for legacy interop only."
"10","blowfish","symmetric","Symmetric Keys","Hashcod Variant 00010 - Blowfish Key","448","56 bytes → hex","448 bits","Schneier","Variable-length symmetric cipher. Predecessor of Twofish."
"11","twofish","symmetric","Symmetric Keys","Hashcod Variant 00011 - Twofish Key","256","32 bytes → hex","256 bits","AES Finalist","AES competition runner-up. Free, unpatented."
"12","camellia","symmetric","Symmetric Keys","Hashcod Variant 00012 - Camellia Key","256","32 bytes → hex","256 bits","RFC 3713","Japanese block cipher. Mandatory in some TLS profiles."
"13","aria256","symmetric","Symmetric Keys","Hashcod Variant 00013 - ARIA-256 Key","KOR","32 bytes → hex","256 bits","KS X 1213","South Korean national standard block cipher."
"14","seed128","symmetric","Symmetric Keys","Hashcod Variant 00014 - SEED-128 Key","KOR","16 bytes → hex","128 bits","KISA","Korean Internet & Security Agency block cipher."
"15","sm4","symmetric","Symmetric Keys","Hashcod Variant 00015 - SM4 Key","CN","16 bytes → hex","128 bits","GB/T 32907","Chinese national symmetric cipher (formerly SMS4)."
"16","sm4_gcm","symmetric","Symmetric Keys","Hashcod Variant 00016 - SM4-GCM Key","CN","16-byte key + 12-byte IV","128 bits","GB/T 36624","SM4 in GCM mode for authenticated encryption."
