00001 | aes128 | Hashcod Variant 00001 - AES-128 Key | Symmetric Keys | 128 | 16 bytes → Base64 | 128 bits | FIPS 197
00002 | aes192 | Hashcod Variant 00002 - AES-192 Key | Symmetric Keys | 192 | 24 bytes → Base64 | 192 bits | FIPS 197
00003 | aes256 | Hashcod Variant 00003 - AES-256 Key | Symmetric Keys | 256 | 32 bytes → Base64 | 256 bits | FIPS 197
00004 | aesgcm | Hashcod Variant 00004 - AES-GCM Key | Symmetric Keys | GCM | 32-byte key + 12-byte IV | 256 bits | NIST SP 800-38D
00005 | chacha20 | Hashcod Variant 00005 - ChaCha20 Key | Symmetric Keys | STR | 32 bytes → hex | 256 bits | RFC 8439
00006 | xchacha | Hashcod Variant 00006 - XChaCha20 Key | Symmetric Keys | XSTR | 32-byte key + 24-byte nonce | 256 bits | IETF Draft
00007 | poly1305 | Hashcod Variant 00007 - Poly1305 Key | Symmetric Keys | MAC | 32 bytes → hex | 256 bits | RFC 8439
00008 | salsa20 | Hashcod Variant 00008 - Salsa20 Key | Symmetric Keys | STR | 32 bytes → hex | 256 bits | eSTREAM
00009 | des3 | Hashcod Variant 00009 - 3DES Key | Symmetric Keys | 168 | 24 bytes → hex | 168 bits | FIPS 46-3
00010 | blowfish | Hashcod Variant 00010 - Blowfish Key | Symmetric Keys | 448 | 56 bytes → hex | 448 bits | Schneier
00011 | twofish | Hashcod Variant 00011 - Twofish Key | Symmetric Keys | 256 | 32 bytes → hex | 256 bits | AES Finalist
00012 | camellia | Hashcod Variant 00012 - Camellia Key | Symmetric Keys | 256 | 32 bytes → hex | 256 bits | RFC 3713
00013 | aria256 | Hashcod Variant 00013 - ARIA-256 Key | Symmetric Keys | KOR | 32 bytes → hex | 256 bits | KS X 1213
00014 | seed128 | Hashcod Variant 00014 - SEED-128 Key | Symmetric Keys | KOR | 16 bytes → hex | 128 bits | KISA
00015 | sm4 | Hashcod Variant 00015 - SM4 Key | Symmetric Keys | CN | 16 bytes → hex | 128 bits | GB/T 32907
00016 | sm4_gcm | Hashcod Variant 00016 - SM4-GCM Key | Symmetric Keys | CN | 16-byte key + 12-byte IV | 128 bits | GB/T 36624
00017 | kuznyechik | Hashcod Variant 00017 - Kuznyechik Key | Symmetric Keys | RU | 32 bytes → hex | 256 bits | GOST R 34.12-2015
00018 | magma | Hashcod Variant 00018 - Magma Key | Symmetric Keys | RU | 32 bytes → hex | 256 bits | GOST 28147-89
00019 | idea | Hashcod Variant 00019 - IDEA Key | Symmetric Keys | 128 | 16 bytes → hex | 128 bits | IDEA
00020 | rc6 | Hashcod Variant 00020 - RC6 Key | Symmetric Keys | AES-F | 32 bytes → hex | 256 bits | AES Finalist
00021 | mars | Hashcod Variant 00021 - MARS Key | Symmetric Keys | AES-F | 32 bytes → hex | 256 bits | AES Finalist
00022 | serpent | Hashcod Variant 00022 - Serpent Key | Symmetric Keys | AES-F | 32 bytes → hex | 256 bits | AES Finalist
00023 | cast128 | Hashcod Variant 00023 - CAST-128 Key | Symmetric Keys | 128 | 16 bytes → hex | 128 bits | RFC 2144
00024 | cast256 | Hashcod Variant 00024 - CAST-256 Key | Symmetric Keys | 256 | 32 bytes → hex | 256 bits | RFC 2612
00025 | rc4 | Hashcod Variant 00025 - RC4 Key | Symmetric Keys | STR | 16 bytes → hex | 128 bits | Legacy
00026 | rc5 | Hashcod Variant 00026 - RC5 Key | Symmetric Keys | 128 | 16 bytes → hex | 128 bits | RC5
00027 | tea | Hashcod Variant 00027 - TEA Key | Symmetric Keys | 128 | 16 bytes → hex | 128 bits | TEA
00028 | xtea | Hashcod Variant 00028 - XTEA Key | Symmetric Keys | 128 | 16 bytes → hex | 128 bits | XTEA
00029 | xxtea | Hashcod Variant 00029 - XXTEA Key | Symmetric Keys | 128 | 16 bytes → hex | 128 bits | XXTEA
00030 | speck | Hashcod Variant 00030 - SPECK Key | Symmetric Keys | NSA | 16 bytes → hex | 128 bits | NSA
00031 | simon | Hashcod Variant 00031 - SIMON Key | Symmetric Keys | NSA | 16 bytes → hex | 128 bits | NSA
00032 | ascon | Hashcod Variant 00032 - Ascon Key | Symmetric Keys | AEAD | 16-byte key + 16-byte nonce | 128 bits | NIST LWC
00033 | aes_ctr | Hashcod Variant 00033 - AES-CTR Key | Symmetric Keys | CTR | 32-byte key + 16-byte IV | 256 bits | NIST SP 800-38A
00034 | aes_cbc | Hashcod Variant 00034 - AES-CBC Key | Symmetric Keys | CBC | 32-byte key + 16-byte IV | 256 bits | NIST SP 800-38A
00035 | aes_xts | Hashcod Variant 00035 - AES-XTS Key | Symmetric Keys | XTS | 64-byte tweak key | 512 bits | IEEE 1619
00036 | aes_ocb | Hashcod Variant 00036 - AES-OCB Key | Symmetric Keys | OCB | 32-byte key + 12-byte nonce | 256 bits | RFC 7253
00037 | aes_eax | Hashcod Variant 00037 - AES-EAX Key | Symmetric Keys | EAX | 32-byte key + 16-byte nonce | 256 bits | EAX Spec
00038 | aes_siv | Hashcod Variant 00038 - AES-SIV Key | Symmetric Keys | SIV | 64-byte SIV key | 512 bits | RFC 5297
00039 | chacha_ietf | Hashcod Variant 00039 - ChaCha20 IETF Key | Symmetric Keys | IETF | 32-byte key + 12-byte nonce | 256 bits | RFC 8439
